listing_type,state_code,property_type,address,suburb_name,postcode,bedrooms,list_date
rent,ACT,studio,4/55 Donald Road,Paddys River,2620,1,23/2/2023
rent,ACT,unit,6/11 McKeahnie Street,Paddys River,2620,2,23/2/2023
rent,ACT,unit,10/19 Charles Street,Paddys River,2620,1,23/2/2023
rent,ACT,house,11 Baudinette Circuit,Bruce,2617,4,23/2/2023
rent,ACT,house,10 Nelimah Close,Central,2601,3,23/2/2023
rent,ACT,unit,43/80 John Whiteway Drive,Central,2601,3,23/2/2023
rent,ACT,unit,2/53 South Street,Central,2601,2,23/2/2023
rent,ACT,house,94 Cutrock Road,Central,2601,4,23/2/2023
rent,ACT,townhouse,1403 Magenta Drive,Central,2601,2,23/2/2023
rent,ACT,townhouse,1/19-21 Dening Street,Central,2601,3,23/2/2023
rent,ACT,house,54 Mataram Road,Central,2601,4,23/2/2023
rent,ACT,house,Address available on request,Central,2601,4,23/2/2023
rent,ACT,villa,13 Donald Avenue,Central,2601,3,23/2/2023
rent,ACT,house,2 Neale Street,Central,2601,3,23/2/2023
rent,ACT,villa,16A Burrawang Street,Central,2601,2,23/2/2023
rent,ACT,apartment,10/15 Barnhill Road,Central,2601,3,23/2/2023
rent,ACT,house,85 Glennie Street,Central,2601,4,23/2/2023
rent,ACT,house,19 Norman Street,Central,2601,3,23/2/2023
rent,ACT,house,90 Bourke Road,Central,2601,3,23/2/2023
rent,ACT,unit,1/66 Henry Parry Drive,Central,2601,1,23/2/2023
rent,ACT,house,1 Clements Drive,Central,2601,4,23/2/2023
rent,ACT,townhouse,8A Kurume Close,Central,2601,3,23/2/2023
rent,ACT,house,45A Fravent Street,Central,2601,2,23/2/2023
rent,ACT,house,31 Stan Johnson Drive,Central,2601,4,23/2/2023
rent,ACT,house,71a Willoughby Road,Central,2601,2,23/2/2023
rent,ACT,house,28 Donald Avenue,Central,2601,3,23/2/2023
rent,ACT,house,42 Fraser Road,Central,2601,4,23/2/2023
rent,ACT,house,2 Derwyn Close,Central,2601,3,23/2/2023
rent,ACT,house,36 Ferndale Street,Central,2601,4,23/2/2023
rent,ACT,house,1/15 Manuka Parade,Central,2601,2,23/2/2023
rent,ACT,house,1036 Yarramalong Road,Central,2601,3,23/2/2023
rent,ACT,house,115 Pacific Highway,Central,2601,3,23/2/2023
rent,ACT,house,105 Trafalgar Ave,Central,2601,4,23/2/2023
rent,ACT,house,183 Winbin Crescent,Central,2601,3,23/2/2023
rent,ACT,townhouse,6/53 Dwyer Street,Central,2601,2,23/2/2023
rent,ACT,house,86 McMasters Rd,Central,2601,4,23/2/2023
rent,ACT,house,7 Lady Penrhyn Close,Central,2601,4,23/2/2023
rent,ACT,house,21 Lone Pine Avenue,Central,2601,3,23/2/2023
rent,ACT,townhouse,3/40 Frederick Street,Central,2601,3,23/2/2023
rent,ACT,house,57a Bangalow Street,Central,2601,2,23/2/2023
rent,ACT,house,2/51 Neptune Street,Central,2601,2,23/2/2023
rent,ACT,house,11a Marina View Parade,Central,2601,2,23/2/2023
rent,ACT,unit,2/86 Neptune Street,Central,2601,1,23/2/2023
rent,ACT,house,5 Pickworth Street,Holt,2615,4,23/2/2023
rent,ACT,townhouse,62/50 Ellenborough Street,Lyneham,2602,3,23/2/2023
rent,ACT,house,12 Heagney Crescent,Chisholm,2905,3,23/2/2023
rent,ACT,townhouse,"16/43 Arthur Blakeley Way,",Coombs,2611,2,23/2/2023
rent,ACT,apartment,201/43 Arthur Blakeley Way,Coombs,2611,2,23/2/2023
rent,ACT,townhouse,8/7 Loveday Crescent,Casey,2913,1,23/2/2023
rent,ACT,house,6 McDonnell Close,Dunlop,2615,3,23/2/2023
rent,ACT,duplex-semi-detached,18 Suttor Street,Ainslie,2602,3,23/2/2023
rent,ACT,house,218/1 Kalma Way,Campbell,2612,2,23/2/2023
rent,ACT,apartment,3/75 Elizabeth Jolley Crescent,Franklin,2913,2,23/2/2023
rent,ACT,apartment,407/2 Terry Connolly Street,Coombs,2611,1,23/2/2023
rent,ACT,townhouse,17/5 Beasley Street,Torrens,2607,2,23/2/2023
rent,ACT,house,80 Oodgeroo Avenue,Franklin,2913,3,23/2/2023
rent,ACT,townhouse,5 Mackaness Place,Garran,2605,3,23/2/2023
rent,ACT,house,46  Holman Street,Curtin,2605,4,23/2/2023
rent,ACT,apartment,35/63 Ainslie Avenue,Braddon,2612,1,23/2/2023
rent,ACT,house,191 Wheeler Crescent,Wanniassa,2903,4,23/2/2023
rent,ACT,apartment,204/39 London Circuit,City,2601,2,23/2/2023
rent,ACT,apartment,165/39 Benjamin Way,Belconnen,2617,1,23/2/2023
rent,ACT,house,37 Dunoon Street,O'Malley,2606,5,23/2/2023
rent,ACT,apartment,33B/54 Forbes Street,Turner,2612,2,23/2/2023
rent,ACT,apartment,124/41 Philip Hodgins Street,Wright,2611,1,23/2/2023
rent,ACT,apartment,217/2 Kerridge Street,Kingston,2604,1,23/2/2023
rent,ACT,townhouse,12/6 Kemsley Place,Pearce,2607,2,23/2/2023
rent,ACT,house,29 Chappell Street,Lyons,2606,2,23/2/2023
rent,ACT,house,2 Maygar Street,Hughes,2605,3,23/2/2023
rent,ACT,townhouse,1/4-6 Coolac Place,Braddon,2612,3,23/2/2023
rent,ACT,house,45 Fergusson Crescent,Deakin,2600,4,23/2/2023
rent,ACT,townhouse,66B McMichael Terrace,Denman Prospect,2611,3,23/2/2023
rent,ACT,house,35 Gollan Street,Evatt,2617,3,23/2/2023
rent,ACT,house,27 Dalrymple Street,Narrabundah,2604,5,23/2/2023
rent,ACT,house,15 Lucy Gullett Circuit,Chisholm,2905,3,23/2/2023
rent,ACT,apartment,1/12 Challis Street,Dickson,2602,1,23/2/2023
rent,ACT,house,53 Springvale Drive,Weetangera,2614,4,23/2/2023
rent,ACT,unit,2/5 Gooreen Street,Reid,2612,1,23/2/2023
rent,ACT,townhouse,10A Edgeworth Parade,Coombs,2611,3,23/2/2023
rent,ACT,house,6 Brush Box Place,Central,2601,3,23/2/2023
rent,ACT,apartment,20/1-5 Bayview Ave,Central,2601,2,23/2/2023
rent,ACT,house,50 Marks Road,Central,2601,3,23/2/2023
rent,ACT,unit,19/212-220 Gertrude Street,Central,2601,2,23/2/2023
rent,ACT,house,22 Kenilworth Street,Central,2601,3,23/2/2023
rent,ACT,house,17 Gallipoli Road,Central,2601,2,23/2/2023
rent,ACT,house,122a Lakedge Ave,Central,2601,2,23/2/2023
rent,ACT,house,58 Lucinda Avenue,Central,2601,3,23/2/2023
rent,ACT,house,18 Tasman Avenue,Central,2601,2,23/2/2023
rent,ACT,villa,13/280 Terrigal Drive,Central,2601,2,23/2/2023
rent,ACT,house,2 Monica Grove,Central,2601,4,23/2/2023
rent,ACT,townhouse,1/42 Archbold Street,Central,2601,3,23/2/2023
rent,ACT,unit,1/19 Barnhill Road,Central,2601,2,23/2/2023
rent,ACT,duplex/semi-detached,2/32B Treeview Place,Central,2601,3,23/2/2023
